Date,Line_ID,Status,Part_Produced,Target_Batches,Target_Qty
2024-02-09,Line_2,Production,Cylinder Head,8,1147
2024-02-09,Line_2,Production,Oil Pan,7,1742
2024-02-09,Line_3,Production,Cylinder Liner,8,5818
2024-02-09,Line_3,Production,Camshaft Pulley,4,3920
2024-02-10,Line_1,Production,Engine Block,7,556
2024-02-10,Line_2,Production,Cylinder Head,8,1147
2024-02-10,Line_2,Production,Oil Pan,7,1742
2024-02-10,Line_3,Production,Cylinder Liner,8,5818
2024-02-10,Line_3,Production,Camshaft Pulley,4,3920
2024-02-12,Line_1,Production,Engine Block,7,556
2024-02-12,Line_2,Production,Cylinder Head,8,1147
2024-02-12,Line_2,Production,Oil Pan,7,1742
2024-02-12,Line_3,Production,Cylinder Liner,8,5818
2024-02-12,Line_3,Production,Camshaft Pulley,4,3920
2024-02-13,Line_1,Production,Engine Block,7,556
2024-02-13,Line_2,Production,Cylinder Head,8,1147
2024-02-13,Line_2,Production,Oil Pan,7,1742
2024-02-13,Line_3,Production,Cylinder Liner,8,5818
2024-02-13,Line_3,Production,Camshaft Pulley,4,3920
2024-02-14,Line_1,Production,Engine Block,7,556
2024-02-14,Line_2,Production,Cylinder Head,8,1147
2024-02-14,Line_2,Production,Oil Pan,7,1742
2024-02-14,Line_3,Production,Cylinder Liner,8,5818
2024-02-14,Line_3,Production,Camshaft Pulley,4,3920
2024-02-15,Line_1,Production,Engine Block,7,556
2024-02-15,Line_2,Production,Cylinder Head,8,1147
2024-02-15,Line_2,Production,Oil Pan,7,1741
2024-02-15,Line_3,Production,Cylinder Liner,8,5818
2024-02-15,Line_3,Production,Camshaft Pulley,4,3920
2024-02-16,Line_1,Production,Engine Block,7,556
2024-02-16,Line_2,Production,Cylinder Head,8,1147
2024-02-16,Line_2,Production,Oil Pan,7,1741
2024-02-16,Line_3,Production,Cylinder Liner,8,5818
2024-02-16,Line_3,Production,Camshaft Pulley,4,3920
2024-02-17,Line_1,Production,Engine Block,7,556
2024-02-17,Line_2,Production,Cylinder Head,8,1147
2024-02-17,Line_2,Production,Oil Pan,7,1741
2024-02-17,Line_3,Production,Cylinder Liner,8,5818
2024-02-17,Line_3,Production,Camshaft Pulley,4,3920
2024-02-19,Line_1,Production,Engine Block,7,556
2024-02-19,Line_2,Production,Cylinder Head,8,1147
2024-02-19,Line_2,Production,Oil Pan,7,1741
2024-02-19,Line_3,Production,Cylinder Liner,8,5818
2024-02-19,Line_3,Production,Camshaft Pulley,4,3920
2024-02-20,Line_1,Production,Engine Block,7,556
2024-02-20,Line_2,Production,Cylinder Head,8,1147
2024-02-20,Line_2,Production,Oil Pan,7,1741
2024-02-20,Line_3,Production,Cylinder Liner,8,5818
2024-02-20,Line_3,Production,Camshaft Pulley,4,3920
2024-02-21,Line_1,Production,Engine Block,7,556
2024-02-21,Line_2,Production,Cylinder Head,8,1147
2024-02-21,Line_2,Production,Oil Pan,7,1741
2024-02-21,Line_3,Production,Cylinder Liner,8,5818
2024-02-21,Line_3,Production,Camshaft Pulley,4,3920
2024-02-22,Line_1,Production,Engine Block,7,556
2024-02-22,Line_2,Production,Cylinder Head,8,1147
2024-02-22,Line_2,Production,Oil Pan,7,1741
2024-02-22,Line_3,Production,Cylinder Liner,8,5818
2024-02-22,Line_3,Production,Camshaft Pulley,4,3920
2024-02-23,Line_1,Production,Engine Block,7,556
2024-02-23,Line_2,Production,Cylinder Head,8,1147
2024-02-23,Line_2,Production,Oil Pan,7,1741
2024-02-23,Line_3,Production,Cylinder Liner,8,5818
2024-02-23,Line_3,Production,Camshaft Pulley,4,3920
2024-02-24,Line_1,Production,Engine Block,7,556
2024-02-24,Line_2,Production,Cylinder Head,8,1147
2024-02-24,Line_2,Production,Oil Pan,7,1741
2024-02-24,Line_3,Production,Cylinder Liner,8,5818
2024-02-24,Line_3,Production,Camshaft Pulley,4,3920
2024-02-26,Line_1,Production,Engine Block,7,556
2024-02-26,Line_2,Production,Cylinder Head,8,1147
2024-02-26,Line_2,Production,Oil Pan,7,1741
2024-02-26,Line_3,Production,Cylinder Liner,8,5818
2024-02-26,Line_3,Production,Camshaft Pulley,4,3920
2024-02-27,Line_1,Production,Engine Block,7,556
2024-02-27,Line_2,Production,Cylinder Head,8,1147
2024-02-27,Line_2,Production,Oil Pan,7,1741
2024-02-27,Line_3,Production,Cylinder Liner,8,5818
2024-02-27,Line_3,Production,Camshaft Pulley,4,3919
2024-02-28,Line_1,Production,Engine Block,7,556
2024-02-28,Line_2,Production,Cylinder Head,8,1147
2024-02-28,Line_2,Production,Oil Pan,7,1741
2024-02-28,Line_3,Production,Cylinder Liner,8,5818
2024-02-28,Line_3,Production,Camshaft Pulley,4,3919
2024-02-29,Line_1,Production,Engine Block,7,556
2024-02-29,Line_2,Production,Cylinder Head,8,1146
2024-02-29,Line_2,Production,Oil Pan,7,1741
2024-02-29,Line_3,Production,Cylinder Liner,8,5818
2024-02-29,Line_3,Production,Camshaft Pulley,4,3919
2024-02-04,Line_1,Maintenance_Weekly,None,0,0
2024-02-04,Line_2,Maintenance_Weekly,None,0,0
2024-02-04,Line_3,Maintenance_Weekly,None,0,0
2024-02-11,Line_1,Maintenance_Weekly,None,0,0
2024-02-11,Line_2,Maintenance_Weekly,None,0,0
2024-02-11,Line_3,Maintenance_Weekly,None,0,0
2024-02-18,Line_1,Maintenance_Weekly,None,0,0
2024-02-18,Line_2,Maintenance_Weekly,None,0,0
2024-02-18,Line_3,Maintenance_Weekly,None,0,0
2024-02-25,Line_1,Maintenance_Weekly,None,0,0
2024-02-25,Line_2,Maintenance_Weekly,None,0,0
2024-02-25,Line_3,Maintenance_Weekly,None,0,0
2024-03-01,Line_1,Production,Engine Block,8,572
2024-03-01,Line_2,Production,Cylinder Head,9,1309
2024-03-01,Line_2,Production,Oil Pan,8,1809
2024-03-01,Line_3,Production,Cylinder Liner,8,5828
2024-03-01,Line_3,Production,Camshaft Pulley,4,3873
2024-03-02,Line_1,Production,Engine Block,8,572
2024-03-02,Line_2,Production,Cylinder Head,9,1309
2024-03-02,Line_2,Production,Oil Pan,8,1809
2024-03-02,Line_3,Production,Cylinder Liner,8,5828
2024-03-02,Line_3,Production,Camshaft Pulley,4,3873
2024-03-04,Line_1,Production,Engine Block,8,572
2024-03-04,Line_2,Production,Cylinder Head,9,1309
2024-03-04,Line_2,Production,Oil Pan,8,1809
2024-03-04,Line_3,Production,Cylinder Liner,8,5828
2024-03-04,Line_3,Production,Camshaft Pulley,4,3873
2024-03-05,Line_1,Production,Engine Block,8,572
2024-03-05,Line_2,Production,Cylinder Head,9,1309
2024-03-05,Line_2,Production,Oil Pan,8,1809
2024-03-05,Line_3,Production,Cylinder Liner,8,5828
2024-03-05,Line_3,Production,Camshaft Pulley,4,3873
2024-03-06,Line_1,Production,Engine Block,8,572
2024-03-06,Line_2,Production,Cylinder Head,9,1309
2024-03-06,Line_2,Production,Oil Pan,8,1808
2024-03-06,Line_3,Production,Cylinder Liner,8,5828
2024-03-06,Line_3,Production,Camshaft Pulley,4,3873
2024-03-07,Line_1,Production,Engine Block,8,572
2024-03-07,Line_2,Production,Cylinder Head,9,1309
2024-03-07,Line_2,Production,Oil Pan,8,1808
2024-03-07,Line_3,Production,Cylinder Liner,8,5828
2024-03-07,Line_3,Production,Camshaft Pulley,4,3873
2024-03-08,Line_1,Production,Engine Block,8,571
2024-03-08,Line_2,Production,Cylinder Head,9,1309
2024-03-08,Line_2,Production,Oil Pan,8,1808
2024-03-08,Line_3,Production,Cylinder Liner,8,5828
2024-03-08,Line_3,Production,Camshaft Pulley,4,3873
2024-03-09,Line_1,Production,Engine Block,8,571
2024-03-09,Line_2,Production,Cylinder Head,9,1309
2024-03-09,Line_2,Production,Oil Pan,8,1808
2024-03-09,Line_3,Production,Cylinder Liner,8,5828
2024-03-09,Line_3,Production,Camshaft Pulley,4,3873
2024-03-11,Line_1,Production,Engine Block,8,571
2024-03-11,Line_2,Production,Cylinder Head,9,1309
2024-03-11,Line_2,Production,Oil Pan,8,1808
2024-03-11,Line_3,Production,Cylinder Liner,8,5828
2024-03-11,Line_3,Production,Camshaft Pulley,4,3873
2024-03-12,Line_1,Production,Engine Block,8,571
2024-03-12,Line_2,Production,Cylinder Head,9,1309
2024-03-12,Line_2,Production,Oil Pan,8,1808
2024-03-12,Line_3,Production,Cylinder Liner,8,5828
2024-03-12,Line_3,Production,Camshaft Pulley,4,3873
2024-03-13,Line_1,Production,Engine Block,8,571
2024-03-13,Line_2,Production,Cylinder Head,9,1309
2024-03-13,Line_2,Production,Oil Pan,8,1808
2024-03-13,Line_3,Production,Cylinder Liner,8,5827
2024-03-13,Line_3,Production,Camshaft Pulley,4,3873
2024-03-14,Line_1,Production,Engine Block,8,571
2024-03-14,Line_2,Production,Cylinder Head,9,1309
2024-03-14,Line_2,Production,Oil Pan,8,1808
2024-03-14,Line_3,Production,Cylinder Liner,8,5827
2024-03-14,Line_3,Production,Camshaft Pulley,4,3873
2024-03-15,Line_1,Production,Engine Block,8,571
2024-03-15,Line_2,Production,Cylinder Head,9,1309
2024-03-15,Line_2,Production,Oil Pan,8,1808
2024-03-15,Line_3,Production,Cylinder Liner,8,5827
2024-03-15,Line_3,Production,Camshaft Pulley,4,3873
2024-03-16,Line_1,Production,Engine Block,8,571
2024-03-16,Line_2,Production,Cylinder Head,9,1309
2024-03-16,Line_2,Production,Oil Pan,8,1808
2024-03-16,Line_3,Production,Cylinder Liner,8,5827
2024-03-16,Line_3,Production,Camshaft Pulley,4,3873
2024-03-18,Line_1,Production,Engine Block,8,571
2024-03-18,Line_2,Production,Cylinder Head,9,1309
2024-03-18,Line_2,Production,Oil Pan,8,1808
2024-03-18,Line_3,Production,Cylinder Liner,8,5827
2024-03-18,Line_3,Production,Camshaft Pulley,4,3873
2024-03-19,Line_1,Production,Engine Block,8,571
2024-03-19,Line_2,Production,Cylinder Head,9,1309
2024-03-19,Line_2,Production,Oil Pan,8,1808
2024-03-19,Line_3,Production,Cylinder Liner,8,5827
2024-03-19,Line_3,Production,Camshaft Pulley,4,3873
2024-03-20,Line_1,Production,Engine Block,8,571
2024-03-20,Line_2,Production,Cylinder Head,9,1309
2024-03-20,Line_2,Production,Oil Pan,8,1808
2024-03-20,Line_3,Production,Cylinder Liner,8,5827
2024-03-20,Line_3,Production,Camshaft Pulley,4,3873
2024-03-21,Line_1,Production,Engine Block,8,571
2024-03-21,Line_2,Production,Cylinder Head,9,1309
2024-03-21,Line_2,Production,Oil Pan,8,1808
2024-03-21,Line_3,Production,Cylinder Liner,8,5827
2024-03-21,Line_3,Production,Camshaft Pulley,4,3873
2024-03-22,Line_1,Production,Engine Block,8,571
2024-03-22,Line_2,Production,Cylinder Head,9,1309
2024-03-22,Line_2,Production,Oil Pan,8,1808
2024-03-22,Line_3,Production,Cylinder Liner,8,5827
2024-03-22,Line_3,Production,Camshaft Pulley,4,3872
2024-03-23,Line_1,Production,Engine Block,8,571
2024-03-23,Line_2,Production,Cylinder Head,9,1308
2024-03-23,Line_2,Production,Oil Pan,8,1808
2024-03-23,Line_3,Production,Cylinder Liner,8,5827
2024-03-23,Line_3,Production,Camshaft Pulley,4,3872
2024-03-25,Line_1,Production,Engine Block,8,571
2024-03-25,Line_2,Production,Cylinder Head,9,1308
2024-03-25,Line_2,Production,Oil Pan,8,1808
2024-03-25,Line_3,Production,Cylinder Liner,8,5827
2024-03-25,Line_3,Production,Camshaft Pulley,4,3872
2024-03-26,Line_1,Production,Engine Block,8,571
2024-03-26,Line_2,Production,Cylinder Head,9,1308
2024-03-26,Line_2,Production,Oil Pan,8,1808
2024-03-26,Line_3,Production,Cylinder Liner,8,5827
2024-03-26,Line_3,Production,Camshaft Pulley,4,3872
2024-03-27,Line_1,Production,Engine Block,8,571
2024-03-27,Line_2,Production,Cylinder Head,9,1308
2024-03-27,Line_2,Production,Oil Pan,8,1808
2024-03-27,Line_3,Production,Cylinder Liner,8,5827
2024-03-27,Line_3,Production,Camshaft Pulley,4,3872
2024-03-28,Line_1,Production,Engine Block,8,571
2024-03-28,Line_2,Production,Cylinder Head,9,1308
2024-03-28,Line_2,Production,Oil Pan,8,1808
2024-03-28,Line_3,Production,Cylinder Liner,8,5827
2024-03-28,Line_3,Production,Camshaft Pulley,4,3872
2024-03-29,Line_1,Production,Engine Block,8,571
2024-03-29,Line_2,Production,Cylinder Head,9,1308
2024-03-29,Line_2,Production,Oil Pan,8,1808
2024-03-29,Line_3,Production,Cylinder Liner,8,5827
2024-03-29,Line_3,Production,Camshaft Pulley,4,3872
2024-03-30,Line_1,Production,Engine Block,8,571
2024-03-30,Line_2,Production,Cylinder Head,9,1308
2024-03-30,Line_2,Production,Oil Pan,8,1808
2024-03-30,Line_3,Production,Cylinder Liner,8,5827
2024-03-30,Line_3,Production,Camshaft Pulley,4,3872
2024-03-03,Line_1,Maintenance_Weekly,None,0,0
2024-03-03,Line_2,Maintenance_Weekly,None,0,0
2024-03-03,Line_3,Maintenance_Weekly,None,0,0
2024-03-10,Line_1,Maintenance_Weekly,None,0,0
2024-03-10,Line_2,Maintenance_Weekly,None,0,0
2024-03-10,Line_3,Maintenance_Weekly,None,0,0
2024-03-17,Line_1,Maintenance_Weekly,None,0,0
2024-03-17,Line_2,Maintenance_Weekly,None,0,0
2024-03-17,Line_3,Maintenance_Weekly,None,0,0
2024-03-24,Line_1,Maintenance_Weekly,None,0,0
2024-03-24,Line_2,Maintenance_Weekly,None,0,0
2024-03-24,Line_3,Maintenance_Weekly,None,0,0
2024-03-31,Line_1,Maintenance_Weekly,None,0,0
2024-03-31,Line_2,Maintenance_Weekly,None,0,0
2024-03-31,Line_3,Maintenance_Weekly,None,0,0
2024-04-01,Line_1,Production,Engine Block,6,447
2024-04-01,Line_2,Production,Cylinder Head,7,943
2024-04-01,Line_2,Production,Oil Pan,6,1350
2024-04-01,Line_3,Production,Cylinder Liner,6,4584
2024-04-01,Line_3,Production,Camshaft Pulley,4,3013
2024-04-02,Line_1,Production,Engine Block,6,447
2024-04-02,Line_2,Production,Cylinder Head,7,943
2024-04-02,Line_2,Production,Oil Pan,6,1350
2024-04-02,Line_3,Production,Cylinder Liner,6,4584
2024-04-02,Line_3,Production,Camshaft Pulley,4,3013
2024-04-03,Line_1,Production,Engine Block,6,447
2024-04-03,Line_2,Production,Cylinder Head,7,943
2024-04-03,Line_2,Production,Oil Pan,6,1350
2024-04-03,Line_3,Production,Cylinder Liner,6,4584
2024-04-03,Line_3,Production,Camshaft Pulley,4,3013
2024-04-04,Line_1,Production,Engine Block,6,447
2024-04-04,Line_2,Production,Cylinder Head,7,943
2024-04-04,Line_2,Production,Oil Pan,6,1350
2024-04-04,Line_3,Production,Cylinder Liner,6,4584
2024-04-04,Line_3,Production,Camshaft Pulley,4,3013
2024-04-05,Line_1,Production,Engine Block,6,447
2024-04-05,Line_2,Production,Cylinder Head,7,943
2024-04-05,Line_2,Production,Oil Pan,6,1350
2024-04-05,Line_3,Production,Cylinder Liner,6,4584
2024-04-05,Line_3,Production,Camshaft Pulley,4,3013
2024-04-06,Line_1,Production,Engine Block,6,447
2024-04-06,Line_2,Production,Cylinder Head,7,943
2024-04-06,Line_2,Production,Oil Pan,6,1350
2024-04-06,Line_3,Production,Cylinder Liner,6,4584
2024-04-06,Line_3,Production,Camshaft Pulley,4,3013
2024-04-08,Line_1,Production,Engine Block,6,447
2024-04-08,Line_2,Production,Cylinder Head,7,943
2024-04-08,Line_2,Production,Oil Pan,6,1350
2024-04-08,Line_3,Production,Cylinder Liner,6,4584
2024-04-08,Line_3,Production,Camshaft Pulley,4,3013
2024-04-09,Line_1,Production,Engine Block,6,447
2024-04-09,Line_2,Production,Cylinder Head,7,943
2024-04-09,Line_2,Production,Oil Pan,6,1350
2024-04-09,Line_3,Production,Cylinder Liner,6,4584
2024-04-09,Line_3,Production,Camshaft Pulley,4,3013
2024-04-10,Line_1,Production,Engine Block,6,447
2024-04-10,Line_2,Production,Cylinder Head,7,943
2024-04-10,Line_2,Production,Oil Pan,6,1350
2024-04-10,Line_3,Production,Cylinder Liner,6,4584
2024-04-10,Line_3,Production,Camshaft Pulley,4,3013
2024-04-11,Line_1,Production,Engine Block,6,447
2024-04-11,Line_2,Production,Cylinder Head,7,943
2024-04-11,Line_2,Production,Oil Pan,6,1350
2024-04-11,Line_3,Production,Cylinder Liner,6,4584
2024-04-11,Line_3,Production,Camshaft Pulley,4,3013
2024-04-12,Line_1,Production,Engine Block,6,447
2024-04-12,Line_2,Production,Cylinder Head,7,943
2024-04-12,Line_2,Production,Oil Pan,6,1350
2024-04-12,Line_3,Production,Cylinder Liner,6,4584
2024-04-12,Line_3,Production,Camshaft Pulley,4,3013
2024-04-13,Line_1,Production,Engine Block,6,447
2024-04-13,Line_2,Production,Cylinder Head,7,943
2024-04-13,Line_2,Production,Oil Pan,6,1350
2024-04-13,Line_3,Production,Cylinder Liner,6,4584
2024-04-13,Line_3,Production,Camshaft Pulley,4,3013
2024-04-15,Line_1,Production,Engine Block,6,447
2024-04-15,Line_2,Production,Cylinder Head,7,943
2024-04-15,Line_2,Production,Oil Pan,6,1349
2024-04-15,Line_3,Production,Cylinder Liner,6,4584
2024-04-15,Line_3,Production,Camshaft Pulley,4,3013
2024-04-16,Line_1,Production,Engine Block,6,447
2024-04-16,Line_2,Production,Cylinder Head,7,943
2024-04-16,Line_2,Production,Oil Pan,6,1349
2024-04-16,Line_3,Production,Cylinder Liner,6,4584
2024-04-16,Line_3,Production,Camshaft Pulley,4,3013
2024-04-17,Line_1,Production,Engine Block,6,447
